time,x,y,z,fx,fy,fz
1711941659.3249962,0.9681670544669032,1.1103456867858768,-1.431241088733077,-0.061828475,0.3259192,-19.639463
1711941659.3435838,0.9681670544669032,1.1103456867858768,-1.431241088733077,-0.12869976,0.45529944,-19.631048
1711941659.3619046,0.9681670544669032,1.1103456867858768,-1.431241088733077,-0.20485534,0.5748743,-19.62032
1711941659.3785174,0.9681670544669032,1.1103456867858768,-1.431241088733077,-0.31236374,0.66171896,-19.599499
1711941659.4032226,0.9681670544669032,1.1103456867858768,-1.431241088733077,-0.4234896,0.7196848,-19.56193
1711941659.421276,0.9681670544669032,1.1103456867858768,-1.431241088733077,-0.5557525,0.7725715,-19.588799
1711941659.437067,0.9681670544669032,1.1103456867858768,-1.431241088733077,-0.6270113,0.81544214,-19.622606
1711941659.4592824,0.9681670544669032,1.1103456867858768,-1.431241088733077,-0.70083547,0.85135925,-19.649443
1711941659.4824662,0.9681670544669032,1.1103456867858768,-1.431241088733077,-0.7648967,0.87973744,-19.67632
1711941659.5024047,0.9681670544669032,1.1103456867858768,-1.431241088733077,-0.81507874,0.90414965,-19.70377
1711941659.5209258,0.891277420334518,1.1290535582229495,-1.4907478626817465,0.47738257,0.8640183,-19.318338
1711941659.5406964,0.891277420334518,1.1290535582229495,-1.4907478626817465,0.31680173,0.8930963,-19.322351
1711941659.5585473,0.891277420334518,1.1290535582229495,-1.4907478626817465,0.13311198,0.915224,-19.335026
1711941659.5815496,0.891277420334518,1.1290535582229495,-1.4907478626817465,-0.15120752,0.9356839,-19.370644
1711941659.6049914,0.891277420334518,1.1290535582229495,-1.4907478626817465,-0.4790477,0.95465976,-19.417473
1711941659.6228368,0.891277420334518,1.1290535582229495,-1.4907478626817465,-0.7138264,0.9698308,-19.464481
1711941659.6456313,0.891277420334518,1.1290535582229495,-1.4907478626817465,-0.85148025,0.9804643,-19.512245
1711941659.6705153,0.891277420334518,1.1290535582229495,-1.4907478626817465,-0.91982645,0.987347,-19.559917
1711941659.68754,0.891277420334518,1.1290535582229495,-1.4907478626817465,-0.95703983,0.991621,-19.625034
1711941659.7047384,0.891277420334518,1.1290535582229495,-1.4907478626817465,-0.9758217,0.9944152,-19.704136
1711941659.7271588,0.891277420334518,1.1290535582229495,-1.4907478626817465,-0.98404914,0.99613917,-19.76214
1711941659.7450967,0.891277420334518,1.1290535582229495,-1.4907478626817465,-0.98884887,0.99710447,-19.799953
1711941659.7626176,0.8111495254561305,1.154318536631763,-1.5452526148408652,0.29870078,0.950461,-18.778492
1711941659.7877913,0.8111495254561305,1.154318536631763,-1.5452526148408652,0.045210335,0.9636994,-18.812378
1711941659.803658,0.8111495254561305,1.154318536631763,-1.5452526148408652,-0.24528769,0.9739986,-18.872303
1711941659.8268209,0.8111495254561305,1.154318536631763,-1.5452526148408652,-0.5340558,0.9818065,-18.956604
1711941659.850758,0.8111495254561305,1.154318536631763,-1.5452526148408652,-0.74116963,0.98723966,-19.042091
1711941659.8693104,0.8111495254561305,1.154318536631763,-1.5452526148408652,-0.85417813,0.9907266,-19.139883
1711941659.8908768,0.8111495254561305,1.154318536631763,-1.5452526148408652,-0.9132167,0.9931661,-19.261303
1711941659.908688,0.8111495254561305,1.154318536631763,-1.5452526148408652,-0.9503811,0.99498254,-19.379099
1711941659.9314203,0.8111495254561305,1.154318536631763,-1.5452526148408652,-0.9716429,0.9961882,-19.48729
1711941659.955268,0.8111495254561305,1.154318536631763,-1.5452526148408652,-0.98319066,0.9970297,-19.593243
1711941659.97343,0.8111495254561305,1.154318536631763,-1.5452526148408652,-0.98879313,0.99762166,-19.674364
1711941659.9955776,0.8111495254561305,1.154318536631763,-1.5452526148408652,-0.99144834,0.99795353,-19.740646
1711941660.0215728,0.7218525884672999,1.20100590121001,-1.588305526599288,0.43410406,0.8728414,-18.701866
1711941660.0378547,0.7218525884672999,1.20100590121001,-1.588305526599288,0.23852134,0.90140855,-18.779736
1711941660.0544574,0.7218525884672999,1.20100590121001,-1.588305526599288,0.029579889,0.9223892,-18.850204
1711941660.0715628,0.7218525884672999,1.20100590121001,-1.588305526599288,-0.1634878,0.9324096,-18.948986
1711941660.0893939,0.7218525884672999,1.20100590121001,-1.588305526599288,-0.3733332,0.9398505,-19.047993
1711941660.1120205,0.7218525884672999,1.20100590121001,-1.588305526599288,-0.60617054,0.9484514,-19.163132
1711941660.1296148,0.7218525884672999,1.20100590121001,-1.588305526599288,-0.74112487,0.9574054,-19.290817
1711941660.1475096,0.7218525884672999,1.20100590121001,-1.588305526599288,-0.8496728,0.9660123,-19.417297
1711941660.1709585,0.7218525884672999,1.20100590121001,-1.588305526599288,-0.9092471,0.9704846,-19.501661
1711941660.1884084,0.7218525884672999,1.20100590121001,-1.588305526599288,-0.9341204,0.9739008,-19.607025
1711941660.2114394,0.7218525884672999,1.20100590121001,-1.588305526599288,-0.95159584,0.9765087,-19.696697
1711941660.2366543,0.7218525884672999,1.20100590121001,-1.588305526599288,-0.9652913,0.97985005,-19.718784
1711941660.2542336,0.619746851734817,1.271637643687427,-1.6188716229051352,0.70975745,0.036823504,-17.791515
1711941660.2758324,0.619746851734817,1.271637643687427,-1.6188716229051352,0.6662154,0.0604884,-17.836422
1711941660.2986758,0.619746851734817,1.271637643687427,-1.6188716229051352,0.582383,0.08226509,-17.89641
1711941660.3220096,0.619746851734817,1.271637643687427,-1.6188716229051352,0.44452608,0.12800342,-17.976822
1711941660.3397129,0.619746851734817,1.271637643687427,-1.6188716229051352,0.25513855,0.17746004,-18.102686
1711941660.3574824,0.619746851734817,1.271637643687427,-1.6188716229051352,0.03879334,0.23191947,-18.231558
1711941660.3803458,0.619746851734817,1.271637643687427,-1.6188716229051352,-0.16194357,0.29820573,-18.35955
1711941660.3978603,0.619746851734817,1.271637643687427,-1.6188716229051352,-0.3582208,0.37229174,-18.487085
1711941660.421474,0.619746851734817,1.271637643687427,-1.6188716229051352,-0.5048577,0.44602433,-18.635864
1711941660.438912,0.619746851734817,1.271637643687427,-1.6188716229051352,-0.61481106,0.51517713,-18.815775
1711941660.4619863,0.619746851734817,1.271637643687427,-1.6188716229051352,-0.7128253,0.56390274,-18.98653
1711941660.4796472,0.619746851734817,1.271637643687427,-1.6188716229051352,-0.78716946,0.60571766,-19.154533
1711941660.4976027,0.619746851734817,1.271637643687427,-1.6188716229051352,-0.8415271,0.6413393,-19.313608
1711941660.5210733,0.5101374862715602,1.3604309214279056,-1.624272995814681,0.16459562,-0.732363,-18.066107
1711941660.5438905,0.5101374862715602,1.3604309214279056,-1.624272995814681,0.06741381,-0.7400041,-18.075863
1711941660.5615191,0.5101374862715602,1.3604309214279056,-1.624272995814681,-0.037346136,-0.7478529,-18.112925
1711941660.5868824,0.5101374862715602,1.3604309214279056,-1.624272995814681,-0.13785408,-0.7582602,-18.166145
1711941660.6042342,0.5101374862715602,1.3604309214279056,-1.624272995814681,-0.1791319,-0.7619838,-18.219154
1711941660.6257606,0.5101374862715602,1.3604309214279056,-1.624272995814681,-0.22436135,-0.76877505,-18.302713
1711941660.6488,0.5101374862715602,1.3604309214279056,-1.624272995814681,-0.26812986,-0.77505416,-18.430279
1711941660.671835,0.5101374862715602,1.3604309214279056,-1.624272995814681,-0.28757164,-0.78071946,-18.579002
1711941660.6895902,0.5101374862715602,1.3604309214279056,-1.624272995814681,-0.32151702,-0.7841753,-18.732655
1711941660.7074604,0.5101374862715602,1.3604309214279056,-1.624272995814681,-0.39997452,-0.7821147,-18.898811
1711941660.730636,0.5101374862715602,1.3604309214279056,-1.624272995814681,-0.49701342,-0.77943695,-19.077854
1711941660.7482455,0.5101374862715602,1.3604309214279056,-1.624272995814681,-0.58331823,-0.77573305,-19.2586
1711941660.7713754,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.5395545,-0.88682395,-18.919025
1711941660.7944613,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.6164174,-0.89179826,-18.94552
1711941660.8120458,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.625482,-0.8951143,-18.974863
1711941660.8367732,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.63371086,-0.8997092,-19.007887
1711941660.8541148,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.64895207,-0.9051763,-19.06012
1711941660.880508,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.67335415,-0.90897405,-19.134846
1711941660.8941514,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.6971667,-0.91298664,-19.207047
1711941660.9197266,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.7185781,-0.91608024,-19.262663
1711941660.9373124,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.7598283,-0.9168172,-19.329458
1711941660.958069,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.80340016,-0.91749716,-19.412617
1711941660.9753509,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.8423715,-0.9188743,-19.512342
1711941660.9933763,0.40169431548565626,1.4511214150115848,-1.5956315334886313,-0.87279755,-0.9197223,-19.625055
1711941661.0159485,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.91007966,-0.8374592,-18.993559
1711941661.039714,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.9145541,-0.8474318,-19.003326
1711941661.0626225,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.9151538,-0.8560716,-19.013186
1711941661.0802948,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.9150108,-0.8609695,-19.025179
1711941661.0980358,0.2913579223677516,1.5225034607574344,-1.5436307724565268,-0.9126899,-0.8644465,-19.052765
